category,model,product_code,spec,available_qty,coming_soon_qty,coming_soon_note,stock_date,source_page
SOFAS - INDOOR,MON-CLOUD,568 0003,3-seater / Fabric Fox Cielo FF15 / 1 Black base,1,20,New arrivals from W32,2026-08-03,2
SOFAS - INDOOR,MON-CLOUD,568 0003,3-seater / Fabric Fox Bianco FF04 / 1 Black base,5,11,,2026-08-03,2
SOFAS - INDOOR,SENGU SOFA,556 P1,"Fabric Look Corda L011 / POUF 100X100 ""L""",1,0,,2026-08-03,2
SOFAS - INDOOR,SENGU SOFA,556 90,"Fabric Look Corda L011 / CUSC.SCHIENALE 75X50 ""L""",3,0,,2026-08-03,2
SOFAS - INDOOR,SENGU BOLD,565 25,Element (right) / Fabric Look Corda L011,2,0,,2026-08-03,2
SOFAS - INDOOR,SENGU BOLD,565 30,Element (central) / Fabric Look Corda L011,2,0,,2026-08-03,2
SOFAS - INDOOR,MARALUNGA,675 07,3-seater width 274cm / Leather Scozia X201 / 4 American walnut base,3,2,,2026-08-03,3
SOFAS - INDOOR,MARALUNGA,675 07,3-seater width 274cm / Leather Scozia X606 / 3 Black base,5,0,,2026-08-03,3
SOFAS - INDOOR,MARALUNGA,675 02,2-seater sofa / Fabric Eremo Avorio E501 / 3 Black base,1,0,,2026-08-03,3
SOFAS - INDOOR,MARALUNGA,675 S6,"2-seater sofa (40 version), width 190cm / Fabric Loira Champagne L714 / 4 American walnut base",1,0,,2026-08-03,3
SOFAS - INDOOR,MARALUNGA,675 X2,"2-seater sofa (Maxi), width 214cm / Leather Scozia Ambra X201 / 3 Black base",1,0,,2026-08-03,3
SOFAS - INDOOR,SORIANA,944 E3,3-seater / Fabric Look L011 / 6 VERDE,1,0,,2026-08-03,3
SOFAS - INDOOR,SORIANA,944 E3,3-seater / Fabric Look L010 / 3 BIANCO,1,0,,2026-08-03,3
CHAISE LONGUE - INDOOR,004 CHAISE LONGUE,004 1C OE,Chaise longue / mattress in hairy skin Z229 black/brown/white / black base and chrome structure / Headrest Scozia Grafite X606,45,23,,2026-08-03,4
CHAISE LONGUE - INDOOR,004 CHAISE LONGUE,004 1C OE,Chaise longue / mattress in hairy skin Z229 black/brown/white / black base and chrome structure / Headrest LCX Grafite Y414,25,8,,2026-08-03,4
CHAISE LONGUE - INDOOR,004 CHAISE LONGUE,004 1C OE,Chaise longue / mattress in leather Scozia Grafite X606 / black base and chrome structure,10,42,,2026-08-03,4
CHAISE LONGUE - INDOOR,004 CHAISE LONGUE,004 1C OE,Chaise longue / mattress in leather LCX Grafite Y414 / black base and chrome structure,25,8,,2026-08-03,4
CHAISE LONGUE - INDOOR,001 FAUTEUIL DOSSIER BASCULANT,001 1Z,Armchair / chrome structure / hairy skin Z229 black/brown/white,17,26,,2026-08-03,4
ARMCHAIRS & CHAIRS - INDOOR,2 FAUTEUIL GRAND CONFORT PETIT MODELE,002 1C 00,Armchair / polyester padded / chrome structure / leather Scozia Grafite X606,17,15,,2026-08-03,5
ARMCHAIRS & CHAIRS - INDOOR,2 FAUTEUIL GRAND CONFORT PETIT MODELE deux places,002 2C 00,2-seats sofa / polyester padded / chrome structure / leather Scozia Grafite X606,7,0,,2026-08-03,5
ARMCHAIRS & CHAIRS - INDOOR,2 FAUTEUIL GRAND CONFORT PETIT MODELE trois places,002 GC 00,3-seats sofa / feather padded / chrome structure / leather ZZ Moka Z367,1,0,,2026-08-03,5
ARMCHAIRS & CHAIRS - INDOOR,3 FAUTEUIL GRAND CONFORT GRAND MODELE,003 EC,Armchair / feather padded cushions / chrome structure / leather LCX Scozia Grafite Y414,25,22,,2026-08-03,5
ARMCHAIRS & CHAIRS - INDOOR,3 FAUTEUIL GRAND CONFORT GRAND MODELE TROIS PLACE,003 GC,3-seater sofa / feather padded cushions / chrome structure / leather LCX Scozia Grafite Y414,14,14,,2026-08-03,5
ARMCHAIRS & CHAIRS - INDOOR,CAPITOL COMPLEX OFFICE CHAIR,051 21,Chair with arms / Vienna straw seat and back / solid wood oak stained black,2,22,New arrivals from W35,2026-08-03,6
ARMCHAIRS & CHAIRS - INDOOR,CAPITOL COMPLEX OFFICE CHAIR,0036,Additional seat cushion / Osaka Cannella,27,0,,2026-08-03,6
ARMCHAIRS & CHAIRS - INDOOR,CAPITOL COMPLEX ARMCHAIR,053 21,Small armchair with upholstered backrest and seat / frame in oak stained black / Natural Leather Z360,22,9,,2026-08-03,6
ARMCHAIRS & CHAIRS - INDOOR,CAPITOL COMPLEX ARMCHAIR,053 21,Scozia leather X201 Ambra,5,12,,2026-08-03,6
ARMCHAIRS & CHAIRS - INDOOR,CAPITOL COMPLEX CHAIR,055 21,Chair / Vienna straw seat and back / solid wood oak stained black,6,26,,2026-08-03,6
ARMCHAIRS & CHAIRS - INDOOR,CAPITOL COMPLEX CHAIR,0036,Additional seat cushion / Osaka Cannella,28,0,,2026-08-03,6
ARMCHAIRS & CHAIRS - INDOOR,SORIANA ARMCHAIR WITH DENIM CRAFTED BY ROY ROGER'S,944 R1,Copper lacquered metal structure,6,6,,2026-08-03,6
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Lincoln Zafferano L574,21,0,,2026-08-03,7
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Ortigia Cactus L656,11,8,,2026-08-03,7
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Ortigia Vino L653,18,0,,2026-08-03,7
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Ortigia Prussia L664,12,2,,2026-08-03,7
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Fox Biscotto FF06,7,0,,2026-08-03,7
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Ortigia Olio L683,2,10,,2026-08-03,7
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Ortigia Prugna L654,2,0,,2026-08-03,8
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Lincoln Blu Cobalto L585 / RED STICH,1,0,,2026-08-03,8
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Lincoln Lampone L578 / BLU STICH,1,0,,2026-08-03,8
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Lincoln Sabbia L572,1,0,,2026-08-03,8
ARMCHAIRS & CHAIRS - INDOOR,UTRECHT,637 01,Fabric Ortigia Marrone L682,2,0,,2026-08-03,8
ARMCHAIRS & CHAIRS - INDOOR,SOFT CORNERS,507 01,POUF 35X29CM H44CM / Fabric Tensing Nero F439,1,0,,2026-08-03,9
ARMCHAIRS & CHAIRS - INDOOR,SOFT CORNERS,507 02,POUF 45X45CM H44CM / Fabric Tensing Nero F439,2,0,,2026-08-03,9
ARMCHAIRS & CHAIRS - INDOOR,SUPERLEGGERA,699 07,Chair in ashwood / India cane seat / frame lacquered black,110,0,,2026-08-03,10
ARMCHAIRS & CHAIRS - INDOOR,LEGGERA,646 22,Chair in ashwood stained black / Black rope,9,30,New arrivals from W38,2026-08-03,10
ARMCHAIRS & CHAIRS - INDOOR,LEGGERA,646 24,Chair in ashwood stained black / Natural rope,8,50,,2026-08-03,10
ARMCHAIRS & CHAIRS - INDOOR,LEGGERA,646 60,Chair in natural ashwood / Natural rope,2,0,,2026-08-03,10
ARMCHAIRS & CHAIRS - INDOOR,HOLA,367,Scozia leather X334 MUD / black zip,42,0,,2026-08-03,11
ARMCHAIRS & CHAIRS - INDOOR,HOLA,367,Fabric Luxor Perla L023 / black zip,14,0,,2026-08-03,11
ARMCHAIRS & CHAIRS - INDOOR,HOLA,367,Leather Scozia X606 Graphite / black zip,4,0,,2026-08-03,11
ARMCHAIRS & CHAIRS - INDOOR,HOLA,367,Leather Scozia X202 Testa di Moro / black zip,6,0,,2026-08-03,11
ARMCHAIRS & CHAIRS - INDOOR,HOLA,367,Leather Scozia X333 Moka / black zip,6,0,,2026-08-03,11
ARMCHAIRS & CHAIRS - INDOOR,DUDET,562 02,Fabric Look Corda L011 / GREY ZIP / 60x51cm,17,38,,2026-08-03,12
ARMCHAIRS & CHAIRS - INDOOR,DUDET,562 01,Fabric Look L011 Corda / BLACK ZIP,22,12,,2026-08-03,12
ARMCHAIRS & CHAIRS - INDOOR,DUDET,562 02,Fabric Look White L010 / GREY ZIP / 60x51cm,19,36,,2026-08-03,12
ARMCHAIRS & CHAIRS - INDOOR,DUDET,562 01,Fabric Look White L010 / BLACK ZIP,26,0,,2026-08-03,12
ARMCHAIRS & CHAIRS - INDOOR,DUDET,562 01,Fabric Falkland Cipria F175 / BLACK ZIP,4,0,,2026-08-03,12
ARMCHAIRS & CHAIRS - INDOOR,905,905 42,Ash wood stained black / Black leather,1,0,,2026-08-03,12
ARMCHAIRS & CHAIRS - INDOOR,CAB 412,CAB 412 S1/1T,Standard chair in black saddle leather / depth 49 cm,0,4,New arrivals from W36,2026-08-03,13
ARMCHAIRS & CHAIRS - INDOOR,CAB 412,CAB 412 S1/1N,Standard chair in Russian red saddle leather / depth 49 cm,3,0,,2026-08-03,13
ARMCHAIRS & CHAIRS - INDOOR,CAB 412,CAB 412 S1/1E,Standard chair in taupe saddle leather / depth 49 cm,7,0,,2026-08-03,13
ARMCHAIRS & CHAIRS - INDOOR,CAB 412,CAB 412 S1/1C,Standard chair in natural saddle leather / depth 49 cm,2,0,,2026-08-03,13
ARMCHAIRS & CHAIRS - INDOOR,CAB 412,CAB 412 S1/1M,Standard chair in brown saddle leather / depth 49 cm,2,11,New arrivals from W35,2026-08-03,13
