floor,brand,name,product_code,matched_name,matched_brand,match_status,match_method,match_score,image,url
B1,Montana,Panton Wire Single,P0000BFW,Panton wire single Pine,MONTANA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/6d295c3a84b3395272cf5d4865be27e6.jpg,https://inscale.co.kr/product/detail.html?product_no=828
B1,Vitra,Uten.Silo I,P0000BED,Uten.Silo Model - I Black,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/c294404b65bc5e80b4710c16b0c871fe.jpg,https://inscale.co.kr/product/utensilo-model-i-japanese-red/713/category/84/display/1/
B1,Artek,Side Table 915,P00000GX,SIDE TABLE 915,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202307/4fd4ed9c8def7c782cde9ff784776e86.jpg,https://inscale.co.kr/product/side-table-915-white-lacquered/179/category/85/display/1/
B1,Artek,Icon A331 Beehive Poster,P0000BEH,Icon A331 Beehive Poster,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/aaa754cf4a07ba95bcf0b318e97cddff.jpg,https://inscale.co.kr/product/detail.html?product_no=787
B1,Artek,Icon Stool 60 Poster,P0000BEI,Icon Stool 60 Poster,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/591215fff8e488a21b0cd5907d0f05f9.jpg,https://inscale.co.kr/product/detail.html?product_no=788
B1,Vitra,Tabouret Metallique - Bleu Marcoule,P00000QG,Tabouret Metallique - Bleu Marcoule,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/2013392706d20d7bb6bdac9d24689f48.jpg,https://inscale.co.kr/product/tabouret-metallique-bleu-marcoule/422/category/84/display/1/
B1,Vitra,"100th Anniversary Edition 
Heart Cone Chair",P0000BCE,100th Anniversary Edition Heart Cone Chair,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202602/5b88e83ccd5048459731987740d9c45e.jpg,https://inscale.co.kr/product/100th-anniversary-edition-heart-cone-chair/732/category/84/display/1/
B1,Vitra,SCREEN 100C,P0000BEJ,screen 100C,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/8a21f75aebe262a4fd07d92ab08ccfc7.jpg,https://inscale.co.kr/product/screen-100c/789/category/118/display/1/
B1,Vitra,Cork Family Type C,P0000BCV,Cork Family Type C,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/34058f0b2cfd42adc8a383d99d355e3d.jpg,https://inscale.co.kr/product/detail.html?product_no=790
B1,Vitra,"All Plastic Chair 
Brick red",P00000BO,All Plastic Chair Brick red,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/c8f3c9984bce4a5b375b76cd0ad39a7c.jpg,https://inscale.co.kr/product/all-plastic-chair-brick-red/40/category/84/display/1/
B1,Vitra,"All Plastic Chair 
Ivy",P00000BM,All Plastic Chair Ivy,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202308/23597ac51a5d362a6aaf7caba06d157b.jpg,https://inscale.co.kr/product/all-plastic-chair-ivy/38/category/84/display/1/
B1,Vitra,"All Plastic Chair 
White",P00000BN,All Plastic Chair - White,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202311/9b28c48fb6657d253a66a5cd26327548.jpg,https://inscale.co.kr/product/all-plastic-chair-white/39/category/84/display/1/
B1,Artemide,Shogun,P0000BEL,Shogun,ARTEMIDE,matched,product_code,1,https://inscale.co.kr/web/product/big/202606/32a72e0c5a86f9429ef061350e757897.jpg,https://inscale.co.kr/product/detail.html?product_no=791
B1,Artek,Atelier Chair Green lacquered,P00000BH,Atelier Chair Green,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202308/034b5d55329c0e55831906aa6bf16275.jpg,https://inscale.co.kr/product/detail.html?product_no=33
B1,Artek,Atelier Chair Dark red lacquered,P00000BG,Atelier Chair Dark red,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202308/73456da8fc5e9cbdfb08078f10034f6a.jpg,https://inscale.co.kr/product/detail.html?product_no=32
B1,Artek,Pendant Light JL341 Brass,P0000BAQ,Pendant Light JL341,ARTEK,matched,product_code,1,https://inscale.co.kr/web/product/big/202505/4c7584042865e40ff3d8abbca86f9d4e.jpg,https://inscale.co.kr/product/pendant-light-jl341-brass/692/category/85/display/1/
B1,Vitra,Asterisk Clock,P00000IF,Asterisk Clock,VITRA,matched,product_code,1,https://inscale.co.kr/web/product/big/202308/658b81fc13122424185fc77c1f6901ae.jpg,https://inscale.co.kr/product/asterisk-clock/213/category/118/display/1/
