floor,location,brand,name,category,price,display,description,designer,size,material,color,origin,image,url,more_image,note,product_code,matched_name,match_status,match_score
B1,B1,Montana,Panton Wire Single,Chair,280000,전시중,"Design : Verner Panton

Size : W348*D188*H348

Material : Chrome, Lacquered Steel

Color : Chrome, Black, Pine",Verner Panton,W348*D188*H348,"Chrome, Lacquered Steel","Chrome, Black, Pine",,,https://www.montanafurniture.com/en-it/panton-wire-single?product=06161t&colour=pine&wire=20-dybde20cm,,,,,new_or_unmatched,0
B1,B1,Vitra,Uten.Silo I,Living Acc,653000,전시중,"Design : Dorothee Becker

Material : ABS plastic ,Nickle-plated metal

Color : Black

Size : 670 x 870 ( Model - l )

Made in Germany",Dorothee Becker,670 x 870 ( Model - l ),"ABS plastic ,Nickle-plated metal",Black,Germany,https://inscale.co.kr/web/product/big/202311/9211a160ed1577341688add22d79a90f.jpg,https://inscale.co.kr/product/utensilo-model-i-japanese-red/713/category/84/display/1/,,,P00000QO,Uten.Silo Model - II,matched,1.027
B1,B1,Artek,Side Table 915,Table,1930000,전시중,"Color : White

Size : W490 x D590 x H590

Frame : Birch, clear lacquer

Shelves : Birch, White lacquer

Made in Finland",,W490 x D590 x H590,,White,Finland,https://inscale.co.kr/web/product/big/202408/877dea0fbd6b9df7518990541ca78b04.jpg,https://inscale.co.kr/product/side-table-915-white-lacquered/179/category/85/display/1/,,,P00000YD,SIDE TABLE 915,matched,1.06
B1,B1,Artek,Icon A331 Beehive Poster,Product,74000,전시중,"Designer : Greige

Material : Recycled paper

Size : W50 x H70cm

액자 미포함",Greige,W50 x H70cm,Recycled paper,,,https://inscale.co.kr/web/product/big/202606/aaa754cf4a07ba95bcf0b318e97cddff.jpg,https://inscale.co.kr/product/detail.html?product_no=787,,,P0000BEH,Icon A331 Beehive Poster,matched,1.06
B1,B1,Artek,Icon Stool 60 Poster,Stool & Bench,570000,전시중,"Designer : Greige

Material : Recycled paper

Size : W50 x H70cm

액자 미포함",Greige,W50 x H70cm,Recycled paper,,,https://inscale.co.kr/web/product/big/202606/591215fff8e488a21b0cd5907d0f05f9.jpg,https://inscale.co.kr/product/detail.html?product_no=788,,,P0000BEI,Icon Stool 60 Poster,matched,1.06
B1,B1,Vitra,Tabouret Metallique - Bleu Marcoule,Product,1170000,전시중,"Designer : Jean Prouve

Color : Bleu Marcoule

Material : Bent sheet steel(powder-coated finish), Plastic glides

Size : Ø380 x H445

Made in Germany",Jean Prouve,Ø380 x H445,"Bent sheet steel(powder-coated finish), Plastic glides",Bleu Marcoule,Germany,https://inscale.co.kr/web/product/big/202311/2013392706d20d7bb6bdac9d24689f48.jpg,https://inscale.co.kr/product/tabouret-metallique-bleu-marcoule/422/category/84/display/1/,,,P00000QG,Tabouret Metallique - Bleu Marcoule,matched,1.06
B1,B1,Vitra,"100th Anniversary Edition 
Heart Cone Chair",Chair,6450000,전시중,"Designer : Verner Panton

Material : Polyurethane foam, Steel

Color : Blue

Size : W1030 x D625 x H890

Made in Germany",Verner Panton,W1030 x D625 x H890,"Polyurethane foam, Steel",Blue,Germany,https://inscale.co.kr/web/product/big/202602/5b88e83ccd5048459731987740d9c45e.jpg,https://inscale.co.kr/product/100th-anniversary-edition-heart-cone-chair/732/category/84/display/1/,,,P0000BCE,100th Anniversary Edition Heart Cone Chair,matched,1.06
B1,B1,Vitra,SCREEN 100C,Product,3760000,전시중,"Designer : Alvar Aalto

Material : Solid Pine

Size : W2000 X H1300

Made in Finland",Alvar Aalto,W2000 X H1300,Solid Pine,,Finland,https://inscale.co.kr/web/product/big/202606/8a21f75aebe262a4fd07d92ab08ccfc7.jpg,https://inscale.co.kr/product/screen-100c/789/category/118/display/1/,,,P0000BEJ,screen 100C,matched,0.8
B1,B1,Vitra,Cork Family Type C,Product,800000,전시중,"Designer : Jasper Morrison

Material : Pure cork, lathe-turned, untreated surface

Size : 310 x H330mm

Made in Germany",Jasper Morrison,310 x H330mm,"Pure cork, lathe-turned, untreated surface",,Germany,https://inscale.co.kr/web/product/big/202606/34058f0b2cfd42adc8a383d99d355e3d.jpg,https://inscale.co.kr/product/detail.html?product_no=790,,,P0000BCV,Cork Family Type C,matched,1.06
B1,B1,Vitra,"All Plastic Chair 
Brick red",Chair,570000,전시중,"Designer : Jasper Morrison

Material : Polypropylene

Color : Brick red

Size : W425 x D460 x H445-720

Made in Germany",Jasper Morrison,W425 x D460 x H445-720,Polypropylene,Brick red,Germany,https://inscale.co.kr/web/product/big/202606/c8f3c9984bce4a5b375b76cd0ad39a7c.jpg,https://inscale.co.kr/product/all-plastic-chair-brick-red/40/category/84/display/1/,,,P00000BO,All Plastic Chair Brick red,matched,1.06
