brand,category,product_name,product_code,spec,incoming_qty,batch,date_label,note
VITRA,SEATING,AMOEBE,21000400,Cosy 2 / dark blue / 870 x 650 x 860 mm,1,IS_2026_05,Invoice 2026-06-18,
VITRA,SEATING,AMOEBE,21000400,Volo / ice blue / 870 x 650 x 860 mm,1,IS_2026_05,Invoice 2026-06-18,
VITRA,SEATING,HEART SHAPED CONE CHAIR,40600300,Volo / night blue / base basic dark,1,IS_2026_05,Invoice 2026-06-18,
VITRA,SEATING,CONE CHAIR,40600400,Cosy 2 / petrol / base basic dark,1,IS_2026_05,Invoice 2026-06-18,
ARTEK,SEATING,DOMUS CHAIR,28105253,Birch black lacquer / Hola chestnut / Sörensen Prestige black leather piping,3,IS_2026_05,Invoice 2026-06-18,
ARTEK,SEATING,DOMUS CHAIR,28105260,Natural oak lacquer / Sörensen Spectrum terracotta / Prestige cognac piping,4,IS_2026_05,Invoice 2026-06-18,
VITRA,TABLES,COFFEE TABLE - ISAMU NOGUCHI,20130002,Walnut base / 400 x 1280 x 930 mm,1,IS_2026_05,Invoice 2026-06-18,
VITRA,STORAGE,FOLLOW ME,83505601,Follow Me 1 / H620 x W420 x D420 mm / soft light carcass / satin chrome roller shutter,3,IS_2026_05,Invoice 2026-06-18,
VITRA,STORAGE,FOLLOW ME,83505701,Follow Me 2 / H875 x W420 x D420 mm / soft light carcass / satin chrome roller shutter,2,IS_2026_05,Invoice 2026-06-18,
VITRA,ACCESSORIES,VASE DECOUPAGE,20138404,Boucle,2,IS_2026_05,Invoice 2026-06-18,
VITRA,ACCESSORIES,VASE DECOUPAGE,20138403,Barre,2,IS_2026_05,Invoice 2026-06-18,
ARTEK,SEATING,STOOL E60,28000365,Four legs / stackable / legs and seat stained walnut / unassembled,3,IS_2026_05,Invoice 2026-06-18,
ARTEK,SEATING,CHAIR 66,281002GE,Walnut stained / non-upholstered / standard seat height 45.5 cm / unassembled,30,IS_2026_06,ETA BUSAN 2026-08-03,
ARTEK,TABLES,TABLE 80A,283002GB,Burgundy linoleum 4154 / birch walnut-stained edge & L-legs / H74 cm,2,IS_2026_06,ETA BUSAN 2026-08-03,
ARTEK,TABLES,TABLE 80A,283002GD,Olive linoleum 4184 / birch L-legs / H74 cm,2,IS_2026_06,ETA BUSAN 2026-08-03,
ARTEK,TABLES,TABLE 90A,283017FW,Ø100 cm / burgundy linoleum 4154 / birch walnut-stained edge & L-legs / H74 cm,2,IS_2026_06,ETA BUSAN 2026-08-03,
ARTEK,TABLES,TABLE 90A,283017FY,Ø100 cm / olive linoleum 4184 / birch L-legs / H74 cm,5,IS_2026_06,ETA BUSAN 2026-08-03,
VITRA,SEATING,HEART CONE CHAIR ANNIVERSARY,40600390,Divina 3 / front 0782 / back 0692 / base basic dark,4,IS_2026_06,ETA BUSAN 2026-08-03,
VITRA,ACCESSORIES,METAL WALL RELIEF - LITTLE HEART,21509703,Red,5,IS_2026_05 + IS_2026_06,2 shipments,2 pcs: Invoice 2026-06-18 · 3 pcs: ETA BUSAN 2026-08-03
VITRA,SEATING,AMOEBE,21000400,Argo2 #0633 rose / 870 x 650 x 860 mm,3,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,AMOEBE,21000400,Elle #0200 white / 870 x 650 x 860 mm,3,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,VISIONA STOOL,210424JH,Asator 454 / design Verner Panton,3,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,LIVING TOWER,20127000,Volo 0360 / cover colour forest 26,1,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,STANDARD CHAIR,21043500,Prouvé Bleu Marcoule base / natural oak backrest & seat / carpet glides,4,DIRECT2609,Invoice 2026-06-09,
VITRA,STORAGE,RAYONNAGE MURAL,21302721,Prouvé Blanc Colombe (ecru) / natural oak oiled shelves,1,DIRECT2609,Invoice 2026-06-09,
VITRA,STORAGE,RAYONNAGE MURAL,21302731,Prouvé Bleu Marcoule / natural oak oiled shelves,1,DIRECT2609,Invoice 2026-06-09,
VITRA,TABLES,WOODEN SIDE TABLE,21051211,Small / natural oak / protective varnish,2,DIRECT2609,Invoice 2026-06-09,
VITRA,TABLES,WOODEN SIDE TABLE,21051311,Medium / natural oak / protective varnish,2,DIRECT2609,Invoice 2026-06-09,
VITRA,TABLES,WOODEN SIDE TABLE,21051411,Large / natural oak / protective varnish,2,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,PANTON CHAIR,44003500,New height / white 04,10,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,PANTON CHAIR,44003500,New height / deep black 12,6,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,PANTON CHAIR,44003500,New height / bordeaux 98,10,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,PANTON JUNIOR,21019607,Pale rose,4,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,PANTON JUNIOR,21019608,Golden yellow,4,DIRECT2609,Invoice 2026-06-09,
VITRA,SEATING,PANTON JUNIOR,21019606,Sea blue,4,DIRECT2609,Invoice 2026-06-09,
